id,name,normalized_name,category,subcategory,description,comarca,municipality,province,latitude,longitude,coordinates_source,coordinates_confidence,address,picnic,tables,benches,barbecue,drinking_water,fountain,toilets,bins,parking,shade,playground,sports_area,bathing,dogs_allowed,accessibility,camping,caravan,electricity,showers,picnic_confidence,tables_confidence,benches_confidence,barbecue_confidence,drinking_water_confidence,fountain_confidence,toilets_confidence,bins_confidence,parking_confidence,shade_confidence,playground_confidence,sports_area_confidence,bathing_confidence,dogs_allowed_confidence,accessibility_confidence,camping_confidence,caravan_confidence,electricity_confidence,showers_confidence,picnic_source,tables_source,benches_source,barbecue_source,drinking_water_source,fountain_source,toilets_source,bins_source,parking_source,shade_source,playground_source,sports_area_source,bathing_source,dogs_allowed_source,accessibility_source,camping_source,caravan_source,electricity_source,showers_source,opening_hours,contact,website,google_place_id,osm_id,official_source,sources,source_urls,verification_status,confidence_score,last_verified,notes,possible_duplicate,duplicate_of_candidates
REC00882,(sense nom - OSM),,espai_lleure,parc_infantil,,Segrià,Almacelles,Lleida,41.7334623,0.4348768,osm,high,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,unknown,unknown,unknown,,node/5846492908,no,font_cartografica,https://www.openstreetmap.org/node/5846492908,unverified,low,2026-08-09,Font unica: OpenStreetMap. Equipaments no confirmats per cap font oficial/web encara: marcats 'unknown' fins a contrastar.,False,
REC00883,(sense nom - OSM),,servei_puntual,font,,Segrià,Torrefarrera,Lleida,41.6739301,0.6054587,osm,high,,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,n/a,n/a,n/a,high,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,OpenStreetMap (tag explicit),,,,,,,,,,,,,,,unknown,unknown,unknown,,node/5873255846,no,font_cartografica,https://www.openstreetmap.org/node/5873255846,unverified,low,2026-08-09,Font unica: OpenStreetMap. Equipaments no confirmats per cap font oficial/web encara: marcats 'unknown' fins a contrastar.,False,
REC00884,Font de la Foca,font de la foca,servei_puntual,font_ornamental,,Segrià,Lleida,Lleida,41.6145046,0.6338402,osm,high,,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,n/a,n/a,n/a,n/a,high,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,OpenStreetMap (tag explicit),,,,,,,,,,,,,,unknown,unknown,unknown,,node/5985252197,no,font_cartografica,https://www.openstreetmap.org/node/5985252197,verified_geometry_only,medium,2026-08-09,Font unica: OpenStreetMap. Equipaments no confirmats per cap font oficial/web encara: marcats 'unknown' fins a contrastar.,False,
REC00885,Font de les Granotes,font de les granotes,servei_puntual,font_ornamental,,Segrià,Lleida,Lleida,41.6139449,0.6312276,osm,high,,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,n/a,n/a,n/a,n/a,high,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,OpenStreetMap (tag explicit),,,,,,,,,,,,,,unknown,unknown,unknown,,node/5988391171,no,font_cartografica,https://www.openstreetmap.org/node/5988391171,verified_geometry_only,medium,2026-08-09,Font unica: OpenStreetMap. Equipaments no confirmats per cap font oficial/web encara: marcats 'unknown' fins a contrastar.,True,"[{""index"": 788, ""osm_id"": ""node/3451062117"", ""name"": ""Font de la Sirena"", ""distance_m"": 37.7, ""name_similarity"": 0.59}]"
REC00886,(sense nom - OSM),,servei_puntual,font,,Segrià,Lleida,Lleida,41.6097458,0.6320431,osm,high,,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,n/a,n/a,n/a,high,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,OpenStreetMap (tag explicit),,,,,,,,,,,,,,,unknown,unknown,unknown,,node/6118760298,no,font_cartografica,https://www.openstreetmap.org/node/6118760298,unverified,low,2026-08-09,Font unica: OpenStreetMap. Equipaments no confirmats per cap font oficial/web encara: marcats 'unknown' fins a contrastar.,False,
REC00887,(sense nom - OSM),,espai_lleure,zona_esportiva,,Segrià,Lleida,Lleida,41.6136231,0.6287095,osm,high,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,unknown,unknown,unknown,,node/6142039661,no,font_cartografica,https://www.openstreetmap.org/node/6142039661,unverified,low,2026-08-09,Font unica: OpenStreetMap. Equipaments no confirmats per cap font oficial/web encara: marcats 'unknown' fins a contrastar.,False,
REC00888,Alberg Lleida Xanascat,alberg lleida xanascat,acampada,alberg,,Segrià,Lleida,Lleida,41.6127044,0.6192338,osm,high,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,unknown,+34 973 266 099,https://xanascat.gencat.cat/ca/albergs/albergs/lleida-xanascat,,node/6163158878,no,font_cartografica,https://www.openstreetmap.org/node/6163158878,verified_geometry_only,medium,2026-08-09,Font unica: OpenStreetMap. Equipaments no confirmats per cap font oficial/web encara: marcats 'unknown' fins a contrastar.,False,
REC00889,(sense nom - OSM),,servei_puntual,wc,,Segrià,Lleida,Lleida,41.6115745,0.6285847,osm,high,,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,n/a,n/a,n/a,n/a,n/a,high,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,OpenStreetMap (tag explicit),,,,,,,,,,,,,unknown,unknown,unknown,,node/6166170669,no,font_cartografica,https://www.openstreetmap.org/node/6166170669,unverified,low,2026-08-09,Font unica: OpenStreetMap. Equipaments no confirmats per cap font oficial/web encara: marcats 'unknown' fins a contrastar.,False,
REC00890,Homenatge a Lluis Companys,homenatge a lluis companys,patrimoni,memorial,,Segrià,Alcoletge,Lleida,41.6451506,0.6935569,osm,high,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,unknown,unknown,unknown,,node/6179193272,no,font_cartografica,https://www.openstreetmap.org/node/6179193272,verified_geometry_only,medium,2026-08-09,Font unica: OpenStreetMap. Equipaments no confirmats per cap font oficial/web encara: marcats 'unknown' fins a contrastar.,False,
REC00891,Oficina Municipal de Turisme de Lleida,oficina municipal de turisme de lleida,patrimoni,punt_informacio,,Segrià,Lleida,Lleida,41.6136747,0.6252872,osm,high,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,unknown,+34973700319,http://www.turismedelleida.cat/,,node/6197979090,no,font_cartografica,https://www.openstreetmap.org/node/6197979090,verified_geometry_only,medium,2026-08-09,Font unica: OpenStreetMap. Equipaments no confirmats per cap font oficial/web encara: marcats 'unknown' fins a contrastar.,False,
REC00892,(sense nom - OSM),,servei_puntual,font,,Segrià,Lleida,Lleida,41.6229819,0.5503604,osm,high,,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,n/a,n/a,n/a,high,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,OpenStreetMap (tag explicit),,,,,,,,,,,,,,,unknown,unknown,unknown,,node/6219646819,no,font_cartografica,https://www.openstreetmap.org/node/6219646819,unverified,low,2026-08-09,Font unica: OpenStreetMap. Equipaments no confirmats per cap font oficial/web encara: marcats 'unknown' fins a contrastar.,False,
REC00893,(sense nom - OSM),,espai_lleure,parc_infantil,,Segrià,Lleida,Lleida,41.6095975,0.6168281,osm,high,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,unknown,unknown,unknown,,node/6221821074,no,font_cartografica,https://www.openstreetmap.org/node/6221821074,unverified,low,2026-08-09,Font unica: OpenStreetMap. Equipaments no confirmats per cap font oficial/web encara: marcats 'unknown' fins a contrastar.,False,
REC00894,Centre d'Interpretació de l'Orde del Temple,centre dinterpretacio de lorde del temple,patrimoni,punt_informacio,,Segrià,Lleida,Lleida,41.6089648,0.6139055,osm,high,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,unknown,+34 973 27 19 42,http://www.turismedelleida.cat/viure-a-lleida-es/el-castell-de-gardeny/,,node/6326938242,no,font_cartografica,https://www.openstreetmap.org/node/6326938242,verified_geometry_only,medium,2026-08-09,Font unica: OpenStreetMap. Equipaments no confirmats per cap font oficial/web encara: marcats 'unknown' fins a contrastar.,False,
REC00895,Restes tanc soviètic T-26,restes tanc sovietic t26,patrimoni,memorial,,Segrià,Vilanova de la Barca,Lleida,41.6911206,0.7262658,osm,high,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,unknown,unknown,unknown,,node/6468561184,no,font_cartografica,https://www.openstreetmap.org/node/6468561184,verified_geometry_only,medium,2026-08-09,Font unica: OpenStreetMap. Equipaments no confirmats per cap font oficial/web encara: marcats 'unknown' fins a contrastar.,False,
REC00896,(sense nom - OSM),,servei_puntual,font,,Segrià,Lleida,Lleida,41.6075825,0.619007,osm,high,,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,n/a,n/a,n/a,n/a,high,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,high,n/a,n/a,n/a,n/a,,,,,OpenStreetMap (tag explicit),,,,,,,,,,OpenStreetMap (tag explicit),,,,,unknown,unknown,unknown,,node/6535477690,no,font_cartografica,https://www.openstreetmap.org/node/6535477690,unverified,low,2026-08-09,Font unica: OpenStreetMap. Equipaments no confirmats per cap font oficial/web encara: marcats 'unknown' fins a contrastar.,False,
REC00897,(sense nom - OSM),,servei_puntual,font,,Segrià,Lleida,Lleida,41.6124836,0.6277381,osm,high,,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,n/a,n/a,n/a,n/a,high,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,high,n/a,n/a,n/a,n/a,,,,,OpenStreetMap (tag explicit),,,,,,,,,,OpenStreetMap (tag explicit),,,,,unknown,unknown,unknown,,node/6535538428,no,font_cartografica,https://www.openstreetmap.org/node/6535538428,unverified,low,2026-08-09,Font unica: OpenStreetMap. Equipaments no confirmats per cap font oficial/web encara: marcats 'unknown' fins a contrastar.,False,
REC00898,Mirador del Castell,mirador del castell,espai_lleure,mirador,,Segrià,Llardecans,Lleida,41.3759782,0.5492513,osm,high,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,unknown,unknown,unknown,,node/6636729728,no,font_cartografica,https://www.openstreetmap.org/node/6636729728,verified_geometry_only,medium,2026-08-09,Font unica: OpenStreetMap. Equipaments no confirmats per cap font oficial/web encara: marcats 'unknown' fins a contrastar.,False,
REC00899,Francesc Macià,francesc macia,patrimoni,memorial,,Segrià,Alcarràs,Lleida,41.5641961,0.5271054,osm,high,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,unknown,unknown,unknown,,node/6679983810,no,font_cartografica,https://www.openstreetmap.org/node/6679983810,verified_geometry_only,medium,2026-08-09,Font unica: OpenStreetMap. Equipaments no confirmats per cap font oficial/web encara: marcats 'unknown' fins a contrastar.,False,
REC00900,Creu d'Alcarras,creu dalcarras,patrimoni,memorial,,Segrià,Alcarràs,Lleida,41.566562,0.526783,osm,high,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,unknown,unknown,unknown,,node/6679983829,no,font_cartografica,https://www.openstreetmap.org/node/6679983829,verified_geometry_only,medium,2026-08-09,Font unica: OpenStreetMap. Equipaments no confirmats per cap font oficial/web encara: marcats 'unknown' fins a contrastar.,False,
